customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,charge_ratio,tenure_group,total_services,charges_difference
7590-VHVEG,0,0,1,0,1.0,0,1,0,0,2,0,0,0,0,0,1,2,29.85,29.85,0,1.0,0-1yr,1,0.0
5575-GNVDE,1,0,0,0,34.0,1,0,0,2,0,2,0,0,0,1,0,3,56.95,1889.5,0,1.0247684572638265,2-4yr,2,-46.80000000000018
3668-QPYBK,1,0,0,0,2.0,1,0,0,2,2,0,0,0,0,0,1,3,53.85,108.15,1,0.9958391123439667,0-1yr,2,0.45000000000000284
7795-CFOCW,1,0,0,0,45.0,0,1,0,2,0,2,2,0,0,1,0,0,42.3,1840.75,0,1.034089365747657,2-4yr,3,-62.74999999999977
9237-HQITU,0,0,0,0,2.0,1,0,1,0,0,0,0,0,0,0,1,2,70.7,151.65,1,0.9324101549620838,0-1yr,0,10.25
9305-CDSKC,0,0,0,0,8.0,1,2,1,0,0,2,0,2,2,0,1,2,99.65,820.5,1,0.9716026812918952,0-1yr,3,23.299999999999955
1452-KIOVK,1,0,0,1,22.0,1,2,1,0,2,0,0,2,0,0,1,1,89.1,1949.4,0,1.005540166204986,1-2yr,2,-10.799999999999727
6713-OKOMC,0,0,0,0,10.0,0,1,0,2,0,0,0,0,0,0,0,3,29.75,301.9,0,0.9854256376283538,0-1yr,1,4.399999999999977
7892-POOKP,0,0,1,0,29.0,1,2,1,0,0,2,2,0,2,0,1,2,70.55,3046.05,1,0.671673150473564,2-4yr,3,1000.1000000000004
6388-TABGU,1,0,0,1,62.0,1,0,0,2,2,0,0,0,0,1,0,0,56.15,3487.95,0,0.9980934359724193,4-6yr,2,6.650000000000091
9763-GRSKD,1,0,1,1,13.0,1,0,0,2,0,0,0,0,0,0,1,3,49.95,587.45,0,1.105370669844242,1-2yr,1,-61.89999999999998
7469-LKBCI,1,0,0,0,16.0,1,0,2,1,1,1,1,1,1,2,0,1,18.95,326.8,0,0.9277845777233782,1-2yr,0,23.600000000000023
8091-TTVAX,1,0,1,0,29.0,1,2,1,0,0,2,0,2,2,1,0,1,100.35,5681.1,0,0.5122511485451761,2-4yr,3,2770.9500000000007
0280-XJGEX,1,0,0,0,49.0,1,2,1,0,2,2,0,2,2,0,1,0,103.7,5036.3,1,1.008935130949308,4-6yr,4,-45.0
5129-JLPIS,1,0,0,0,29.0,1,0,1,2,0,2,2,0,2,0,1,2,70.55,2686.05,0,0.7616946817817986,2-4yr,4,640.1000000000004
3655-SNQYZ,0,0,1,1,29.0,1,2,1,2,2,2,2,0,2,2,0,1,70.55,7895.15,0,0.2591401050011716,2-4yr,5,5849.2
8191-XWSZG,0,0,0,0,52.0,1,0,2,1,1,1,1,1,1,1,0,3,20.65,1022.95,0,1.0497091744464537,4-6yr,0,-50.84999999999991
9959-WOFKT,1,0,0,1,29.0,1,2,1,2,0,2,0,0,2,2,0,0,70.55,7382.25,0,0.2771445020149683,2-4yr,3,5336.3
4190-MFLUW,0,0,1,1,10.0,1,0,0,0,0,2,2,0,0,0,0,1,55.2,528.35,1,1.044761994889751,0-1yr,2,-23.649999999999977
4183-MYFRB,1,0,0,0,29.0,1,0,1,0,2,2,0,0,2,0,1,2,70.55,1862.9,0,1.0982607762091363,2-4yr,3,-183.04999999999973
8779-QRDMV,1,1,0,0,1.0,0,1,0,0,0,2,0,0,2,0,1,2,39.65,39.65,1,1.0,0-1yr,2,0.0
