,count,unique,top,freq,mean,std,min,25%,50%,75%,max
customerID,7043,7043,7590-VHVEG,1,,,,,,,
gender,7043,2,Male,3952,,,,,,,
SeniorCitizen,7043.0,,,,0.1621468124378816,0.3686116056100131,0.0,0.0,0.0,0.0,1.0
Partner,7043,2,No,4115,,,,,,,
Dependents,7043,2,No,4933,,,,,,,
tenure,7043.0,,,,31.287661507880166,19.75369204948938,0.0,19.0,29.0,41.0,72.0
PhoneService,7043,2,Yes,6361,,,,,,,
MultipleLines,7043,3,No,3390,,,,,,,
InternetService,7043,3,Fiber optic,3660,,,,,,,
OnlineSecurity,7043,3,No,3498,,,,,,,
OnlineBackup,7043,3,No,3088,,,,,,,
DeviceProtection,7043,3,No,3095,,,,,,,
TechSupport,7043,3,No,3473,,,,,,,
StreamingTV,7043,3,No,3699,,,,,,,
StreamingMovies,7043,3,No,2785,,,,,,,
Contract,7043,3,Month-to-month,3875,,,,,,,
PaperlessBilling,7043,2,Yes,4171,,,,,,,
PaymentMethod,7043,4,Electronic check,2365,,,,,,,
MonthlyCharges,7043.0,,,,66.08475081641346,26.804520341556902,18.25,49.45,70.55,84.85,118.6
TotalCharges,7032.0,,,,2283.3004408418656,2266.771361883145,18.8,401.45,1397.475,3794.7375,8684.8
Churn,7043,2,No,5174,,,,,,,
